Palavra;Peso;Classe favorecida
2o;-0.16582223242453592;Verdadeira
2oc;-0.045418785331789564;Verdadeira
30;-0.13478639468180936;Verdadeira
300;0.18138504275482725;Fake
302;-0.021594136373058;Verdadeira
303;-0.09826144405439376;Verdadeira
3054;0.0;Neutra
307;-0.03180317835596818;Verdadeira
308;-0.042102079694647555;Verdadeira
30a;0.046604815643125616;Fake
31;-0.1365530373540782;Verdadeira
310;-0.02308677538961122;Verdadeira
311;-0.011576273845245653;Verdadeira
312;-0.020368033580492367;Verdadeira
315;-0.03107236316945553;Verdadeira
317;0.07726117357629582;Fake
318;0.029007231117166233;Fake
319;-0.006486612597923401;Verdadeira
32;0.05304118270278111;Fake
320;0.15010629477679802;Fake
321;-0.0413096159520183;Verdadeira
322;-0.05682899494817969;Verdadeira
324;0.0;Neutra
326;0.021460283078471306;Fake
33;0.036058655125017935;Fake
330;-0.00462386932585107;Verdadeira
333;0.0;Neutra
334;-0.07468214588781019;Verdadeira
336;0.0;Neutra
339;0.0;Neutra
34;-0.20566561768049701;Verdadeira
340;-0.01091964062077276;Verdadeira
342;-0.06866207710785491;Verdadeira
343;-0.002881433224028711;Verdadeira
348;-0.016461265913362107;Verdadeira
34a;-0.022879414525517276;Verdadeira
35;-0.20432869805839754;Verdadeira
350;-0.0628085667814716;Verdadeira
353;0.03171385168189285;Fake
357;-1.3010426069826053e-18;Verdadeira
358;-0.010149262092553665;Verdadeira
35a;-0.035961624623586375;Verdadeira
35b;0.17146807701621655;Fake
35o;0.07193708202256838;Fake
36;-0.1896682517447691;Verdadeira
360;0.04189619106653931;Fake
363;-0.008726095326784644;Verdadeira
364;-0.008893111156618864;Verdadeira
365;-0.023047888665531816;Verdadeira
367;-0.08338928817011167;Verdadeira
369;-0.004935489561318927;Verdadeira
36a;-0.03793367974662765;Verdadeira
37;-0.023675551479944164;Verdadeira
370;-0.03200078063022364;Verdadeira
371;0.0;Neutra
375;-0.007161430798270133;Verdadeira
376;-0.18986399265250614;Verdadeira
377;-0.007755391219914546;Verdadeira
379;0.10244125566644838;Fake
38;-0.1580380085161904;Verdadeira
380;-0.03457261069503501;Verdadeira
386;0.0;Neutra
39;0.008694097265613187;Fake
390;-0.24104001810095418;Verdadeira
391;0.015350243676045415;Fake
392;0.0;Neutra
395;0.0;Neutra
3a;-0.024513394530545123;Verdadeira
3d;-0.054285867276774355;Verdadeira
